scraped_at,category,product_id,name,brand,variant,price_ex_vat_gbp,unit_price_raw,region,promo_label,status,product_url,image_url,rating_stars,review_count,price_inc_vat_gbp,price_before_discount_gbp,style_body,style_richness,style_smoke,style_sweetness,character_notes,fact_bottler,fact_country,fact_region,fact_cask_type,fact_colouring
2026-01-15 09:15:51,Single Malt,3395,Laphroaig 10 Year Old,Laphroaig,70cl / 40%,34.12,(£58.50 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/3395/laphroaig-10-year-old,https://img.thewhiskyexchange.com/380/lrgob.10yov1.jpg?v=202407241,4.5,314,40.95,,3,5,5,2,Iodine (tcp)|Seaweed|Salt (powder)|Lemon|Pear|Peat smoke,Distillery Bottling,Scotland,Islay,,Yes
2026-01-15 09:15:51,Single Malt,4398,Royal Lochnagar 12 Year Old,Royal Lochnagar,70cl / 40%,39.96,(£68.50 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/4398/royal-lochnagar-12-year-old,https://img.thewhiskyexchange.com/380/rlnob.12yo.jpg?v=202407241,4.5,44,47.95,,3,2,0,3,Oak|Toffee|Lemon|Lychee|Oil,Distillery Bottling,Scotland,,,Yes
2026-01-15 09:15:55,Single Malt,64061,Glendronach 15 Year Old / Sherry Cask Matured,Glendronach,70cl / 46%,67.71,(£101.79 per litre),Highland,Special Offer: £10 Off!,In Stock,https://www.thewhiskyexchange.com/p/64061/glendronach-15-year-old-sherry-cask-matured,https://img.thewhiskyexchange.com/380/grnob.15yov10.jpg?v=202407241,,,71.25,81.25,4,4,0,4,Mint|Dark Chocolate|Figs|Dried Fruit|Cherry|Raisins,Distillery Bottling,Scotland,Highland,Sherry,No
2026-01-15 09:15:55,Single Malt,2400,Glenlivet 15 Year Old / French Oak Reserve,Glenlivet,70cl / 40%,53.75,(£92.14 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2400/glenlivet-15-year-old-french-oak-reserve,https://img.thewhiskyexchange.com/380/glvob.15yov1.jpg?v=202407241,4.5,73,64.50,,3,3,0,2,Almond|Dried Fruit|Butter,Distillery Bottling,Scotland,Speyside,,Yes
2026-01-15 09:15:55,Single Malt,55981,Nc'nean Organic Single Malt,Nc'nean,70cl / 46%,43.12,(£73.93 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/55981/ncnean-organic-single-malt,https://img.thewhiskyexchange.com/380/ncnob.non1.jpg?v=202407241,4.5,15,51.75,,3,1,0,3,Vanilla|White Pepper|Lemon|Apricot|Peach,Distillery Bottling,Scotland,Highland,,
2026-01-15 09:15:55,Single Malt,42534,Jura 10 Year Old,Jura,70cl / 40%,29.38,(£50.36 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/42534/jura-10-year-old,https://img.thewhiskyexchange.com/380/iojob.10yov9.jpg?v=202407241,3.5,27,35.25,,3,3,1,4,Raisins|Strawberry|Salt (powder)|Cinnamon|Dark Chocolate|Liquorice root,Distillery Bottling,Scotland,Island,Oloroso Sherry Butt Finish,Yes
2026-01-15 09:15:55,Single Malt,68805,Islay 1991 / 30 Year Old / Signatory for The Whisky Exchange,Undisclosed Distillery,70cl / 50.7%,395.83,(£421.43 per litre),Islay,Special Offer: £180 Off!,In Stock,https://www.thewhiskyexchange.com/p/68805/islay-1991-30-year-old-signatory-for-the-whisky-exchange,https://img.thewhiskyexchange.com/380/malts_sig1991.jpg?v=202407241,,,295,475,3,2,2,3,Dark Chocolate|Smoke|Lime|Apple|Mint|Tar,Signatory,Scotland,Islay,Bourbon Barrel,
2026-01-15 09:15:55,Single Malt,2072,Glenfarclas 25 Year Old,Glenfarclas,70cl / 43%,179.17,(£307.14 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2072/glenfarclas-25-year-old,https://img.thewhiskyexchange.com/380/gfcob.25yo.jpg?v=202407241,5,26,215,,4,5,0,4,Hazelnut|Fruit Cake|Dark Chocolate|Coffee,Distillery Bottling,Scotland,Speyside,,No
2026-01-15 09:15:55,Single Malt,1619,Caol Ila 12 Year Old,Caol Ila,70cl / 43%,45.62,(£78.21 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/1619/caol-ila-12-year-old,https://img.thewhiskyexchange.com/380/cilob.12yov1.jpg?v=202407241,4,104,54.75,,3,3,3,2,Smoke|Apple|Lemon|Brine|Oysters|Vanilla,Distillery Bottling,Scotland,Islay,,Yes
2026-01-15 09:15:55,Single Malt,86607,Torabhaig 2018 Scottish Oak Single Cask / Exclusive to The Whisky Exchange,Torabhaig ,70cl / 58.7%,83.29,(£142.79 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/86607/torabhaig-2018-scottish-oak-single-cask-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/trbob.2018.jpg?v=202407241,,,99.95,,4,3,3,2,Apple|Smoke|Oak|Pine|Black Pepper|Dark Chocolate,Distillery Bottling,Scotland,Island,,
