scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,status,product_url,image_url
2025-12-29 22:13:58,Single Malt,86756,Thompson Bros Mystery Malt Series No.5,Various Distilleries,70cl / 46.3%,54.12,(£92.79 per litre),Single Malt Scotch Whisky,,In Stock,https://www.thewhiskyexchange.com/p/86756/thompson-bros-mystery-malt-series-no5,https://img.thewhiskyexchange.com/380/malts_tho4.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,32560,Kilchoman Sanaig,Kilchoman,70cl / 46%,47.08,(£80.71 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/32560/kilchoman-sanaig,https://img.thewhiskyexchange.com/380/kilob.non3.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,2091,Glenfiddich 15 Year Old Solera,Glenfiddich,70cl / 40%,49.96,(£85.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2091/glenfiddich-15-year-old-solera,https://img.thewhiskyexchange.com/380/gfdob.15yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,13626,Bunnahabhain 18 Year Old,Bunnahabhain,70cl / 46.3%,110.83,(£190 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/13626/bunnahabhain-18-year-old,https://img.thewhiskyexchange.com/380/bunob.18yov2.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,4132,Oban 14 Year Old,Oban,70cl / 43%,72.71,(£110.36 per litre),Highland,Special Offer: £10 Off!,In Stock,https://www.thewhiskyexchange.com/p/4132/oban-14-year-old,https://img.thewhiskyexchange.com/380/obnob.14yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,40227,Kilchoman Machir Bay,Kilchoman,70cl / 46%,39.12,(£67.07 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/40227/kilchoman-machir-bay,https://img.thewhiskyexchange.com/380/kilob.non26.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,83347,Aberlour A'Bunadh,Aberlour,70cl / 60%,78.12,(£133.93 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/83347/aberlour-abunadh,https://img.thewhiskyexchange.com/380/ablob.non65.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,1665,Clynelish 14 Year Old,Clynelish,70cl / 46%,47.08,(£66.43 per litre),Highland,Special Offer: £10 Off!,In Stock,https://www.thewhiskyexchange.com/p/1665/clynelish-14-year-old,https://img.thewhiskyexchange.com/380/clyob.14yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,1902,Edradour 10 Year Old,Edradour,70cl / 46%,38.75,(£66.43 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/1902/edradour-10-year-old,https://img.thewhiskyexchange.com/380/edrob.10yov1.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,48885,Tobermory 12 Year Old,Tobermory,70cl / 46.3%,34.96,(£59.93 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/48885/tobermory-12-year-old,https://img.thewhiskyexchange.com/380/tobob.12yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,34537,Macallan 12 Year Old Double Cask,Macallan,70cl / 40%,64.96,(£111.36 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/34537/macallan-12-year-old-double-cask,https://img.thewhiskyexchange.com/380/macob.12yov26.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,49965,Glendronach Port Wood,Glendronach,70cl / 46%,55.62,(£95.36 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/49965/glendronach-port-wood,https://img.thewhiskyexchange.com/380/grnob.non13.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,48761,Balblair 12 Year Old,Balblair,70cl / 46%,44.79,(£56.79 per litre),Highland,Special Offer: £14 Off!,In Stock,https://www.thewhiskyexchange.com/p/48761/balblair-12-year-old,https://img.thewhiskyexchange.com/380/blbob.12yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,1814,Dalwhinnie 15 Year Old,Dalwhinnie,70cl / 43%,46.25,(£70.71 per litre),Speyside,Special Offer: £6 Off!,In Stock,https://www.thewhiskyexchange.com/p/1814/dalwhinnie-15-year-old,https://img.thewhiskyexchange.com/380/dalob.15yov1.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,85676,Glenfiddich 16 Year Old / Aston Martin F1,Glenfiddich,70cl / 43%,61.62,(£105.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/85676/glenfiddich-16-year-old-aston-martin-f1,https://img.thewhiskyexchange.com/380/gfdob.16yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,26055,Craigellachie 13 Year Old,Craigellachie,70cl / 46%,49.96,(£74.21 per litre),Speyside,Special Offer: £8 Off!,In Stock,https://www.thewhiskyexchange.com/p/26055/craigellachie-13-year-old,https://img.thewhiskyexchange.com/380/crgob.13yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,1619,Caol Ila 12 Year Old,Caol Ila,70cl / 43%,45.62,(£78.21 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/1619/caol-ila-12-year-old,https://img.thewhiskyexchange.com/380/cilob.12yov1.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,72702,Macallan Classic Cut 2023 Release,Macallan,70cl / 50.3%,79.12,(£135.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/72702/macallan-classic-cut-2023-release,https://img.thewhiskyexchange.com/380/macob.non183.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,114,Ardbeg Uigeadail,Ardbeg,70cl / 54.2%,58.54,(£100.36 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/114/ardbeg-uigeadail,https://img.thewhiskyexchange.com/380/abgob.non2.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,73328,Dailuaine 16 Year Old / Flora & Fauna,Dailuaine,70cl / 43%,56.46,(£96.79 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/73328/dailuaine-16-year-old-flora-fauna,https://img.thewhiskyexchange.com/380/dlnob.16yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,82932,Scapa 16 Year Old,Scapa,70cl / 48%,79.12,(£135.64 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/82932/scapa-16-year-old,https://img.thewhiskyexchange.com/380/scpob.16yov2.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,71873,Glenglassaugh Portsoy,Glenglassaugh,70cl / 49.1%,49.38,(£84.64 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/71873/glenglassaugh-portsoy,https://img.thewhiskyexchange.com/380/ggsob.non22.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,85994,Ben Nevis 2019 / 6 Year Old / Caoineag The Weeping Spirit / The Whisky Exchange,Ben Nevis,70cl / 55%,49.96,(£85.64 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/85994/ben-nevis-2019-6-year-old-caoineag-the-weeping-spirit-the-whisky-exchange,https://img.thewhiskyexchange.com/380/bnvtwe2019.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,2072,Glenfarclas 25 Year Old,Glenfarclas,70cl / 43%,179.17,(£271.43 per litre),Speyside,Special Offer: £25 Off!,In Stock,https://www.thewhiskyexchange.com/p/2072/glenfarclas-25-year-old,https://img.thewhiskyexchange.com/380/gfcob.25yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,4837,Talisker 10 Year Old,Talisker,70cl / 45.8%,40.21,(£62.79 per litre),Island,Special Offer: £4.30 Off!,In Stock,https://www.thewhiskyexchange.com/p/4837/talisker-10-year-old,https://img.thewhiskyexchange.com/380/talob.10yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,23560,Aberlour 16 Year Old Double Cask (40%),Aberlour,70cl / 40%,94.17,(£161.43 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/23560/aberlour-16-year-old-double-cask-40,https://img.thewhiskyexchange.com/380/ablob.16yov1.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,71872,Glenglassaugh Sandend,Glenglassaugh,70cl / 50.5%,45.42,(£66.43 per litre),Highland,Special Offer: £8 Off!,In Stock,https://www.thewhiskyexchange.com/p/71872/glenglassaugh-sandend,https://img.thewhiskyexchange.com/380/ggsob.non21.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,81812,Glendronach 12 Year Old / Sherry Cask Matured,Glendronach,70cl / 43%,44.38,(£68.93 per litre),Highland,Special Offer: £5 Off!,In Stock,https://www.thewhiskyexchange.com/p/81812/glendronach-12-year-old-sherry-cask-matured,https://img.thewhiskyexchange.com/380/grnob.12yov38.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,68596,Glengoyne 15 Year Old,Glengoyne,70cl / 43%,58.29,(£99.93 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/68596/glengoyne-15-year-old,https://img.thewhiskyexchange.com/380/ggoob.15yov7.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,72248,Bruichladdich Classic Laddie,Bruichladdich,70cl / 50%,43.96,(£61.07 per litre),Islay,Special Offer: £10 Off!,In Stock,https://www.thewhiskyexchange.com/p/72248/bruichladdich-classic-laddie,https://img.thewhiskyexchange.com/380/bruob.non35.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,81026,Glenmorangie 18 Year Old The Infinita,Glenmorangie,70cl / 43%,103.33,(£177.14 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/81026/glenmorangie-18-year-old-the-infinita,https://img.thewhiskyexchange.com/380/gmgob.18yov21.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,302,Balvenie 21 Year Old Port Wood,Balvenie,70cl / 40%,203.33,(£348.57 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/302/balvenie-21-year-old-port-wood,https://img.thewhiskyexchange.com/380/balob.21yo.jpg?v=202407241
