scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,product_url,image_url,is_brand_placeholder,bottle_size_cl,bottle_size_l,abv_percent,unit_price_gbp_per_litre,discount_amount_gbp,is_discounted,price_pre_discount_calc_gbp,true_price_gbp,true_unit_price_per_l,alcohol_units,true_price_per_alcohol_unit_gbp,price_tier,discount_percent,discount_band,age_years,is_age_stated,age_band,bottle_size_band,abv_band,is_cask_strength
2025-12-29 22:13:54,Single Malt,42534,Jura 10 Year Old,Jura,70cl / 40%,29.38,(£37.50 per litre),Island,Special Offer: £9 Off!,https://www.thewhiskyexchange.com/p/42534/jura-10-year-old,https://img.thewhiskyexchange.com/380/iojob.10yov9.jpg?v=202407241,False,70.0,0.7,40.0,37.5,9.0,True,38.379999999999995,38.379999999999995,54.83,28.0,1.37,Budget,23.45,High (20–40%),10.0,True,≤10,Standard (70cl),≤40%,False
2025-12-29 22:13:54,Single Malt,45607,Old Pulteney 15 Year Old,Old Pulteney,70cl / 46%,66.25,(£83.57 per litre),Highland,Special Offer: £21 Off!,https://www.thewhiskyexchange.com/p/45607/old-pulteney-15-year-old,https://img.thewhiskyexchange.com/380/opnob.15yov2.jpg?v=202407241,False,70.0,0.7,46.0,83.57,21.0,True,87.25,87.25,124.64,32.199999999999996,2.71,Premium,24.07,High (20–40%),15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,12983,Ledaig 10 Year Old,Ledaig,70cl / 46.3%,33.96,(£58.21 per litre),Island,,https://www.thewhiskyexchange.com/p/12983/ledaig-10-year-old,https://img.thewhiskyexchange.com/380/ldgob.10yov1.jpg?v=202407241,False,70.0,0.7,46.3,58.21,,False,33.96,33.96,48.51,32.41,1.05,Budget,0.0,No Discount,10.0,True,≤10,Standard (70cl),46–50%,False
2025-12-29 22:13:58,Single Malt,51202,Arran Sherry Cask,Arran,70cl / 55.8%,53.12,(£91.07 per litre),Island,,https://www.thewhiskyexchange.com/p/51202/arran-sherry-cask,https://img.thewhiskyexchange.com/380/arrob.non71.jpg?v=202407241,False,70.0,0.7,55.8,91.07,,False,53.12,53.12,75.89,39.059999999999995,1.36,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:13:58,Single Malt,3512,Macallan 12 Year Old Sherry Oak,Macallan,70cl / 40%,72.46,(£124.21 per litre),Speyside,,https://www.thewhiskyexchange.com/p/3512/macallan-12-year-old-sherry-oak,https://img.thewhiskyexchange.com/380/macob.12yo.jpg?v=202407241,False,70.0,0.7,40.0,124.21,,False,72.46,72.46,103.51,28.0,2.59,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,15703,Glenlivet 18 Year Old Batch Reserve,Glenlivet,70cl / 40%,83.29,(£142.79 per litre),Speyside,,https://www.thewhiskyexchange.com/p/15703/glenlivet-18-year-old-batch-reserve,https://img.thewhiskyexchange.com/380/glvob.18yov1.jpg?v=202407241,False,70.0,0.7,40.0,142.79,,False,83.29,83.29,118.99,28.0,2.97,Premium,0.0,No Discount,18.0,True,16–18,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,7218,Dalmore 15 Year Old,Dalmore,70cl / 40%,91.67,(£157.14 per litre),Highland,,https://www.thewhiskyexchange.com/p/7218/dalmore-15-year-old,https://img.thewhiskyexchange.com/380/dlmob.15yo.jpg?v=202407241,False,70.0,0.7,40.0,157.14,,False,91.67,91.67,130.96,28.0,3.27,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,47814,Clynelish Reserve / Game of Thrones House Tyrell,Clynelish,70cl / 51.2%,36.62,(£62.79 per litre),Highland,,https://www.thewhiskyexchange.com/p/47814/clynelish-reserve-game-of-thrones-house-tyrell,https://img.thewhiskyexchange.com/380/clyob.non4.jpg?v=202407241,False,70.0,0.7,51.2,62.79,,False,36.62,36.62,52.31,35.839999999999996,1.02,Budget,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:13:58,Single Malt,2093,Glenfiddich 18 Year Old,Glenfiddich,70cl / 40%,81.04,(£138.93 per litre),Speyside,,https://www.thewhiskyexchange.com/p/2093/glenfiddich-18-year-old,https://img.thewhiskyexchange.com/380/gfdob.18yo.jpg?v=202407241,False,70.0,0.7,40.0,138.93,,False,81.04,81.04,115.77,28.0,2.89,Premium,0.0,No Discount,18.0,True,16–18,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,284,Balvenie 12 Year Old DoubleWood,Balvenie,70cl / 40%,44.58,(£76.43 per litre),Speyside,,https://www.thewhiskyexchange.com/p/284/balvenie-12-year-old-doublewood,https://img.thewhiskyexchange.com/380/balob.12yo.jpg?v=202407241,False,70.0,0.7,40.0,76.43,,False,44.58,44.58,63.69,28.0,1.59,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,53636,Aberlour Casg Annamh,Aberlour,70cl / 48%,47.29,(£81.07 per litre),Speyside,,https://www.thewhiskyexchange.com/p/53636/aberlour-casg-annamh,https://img.thewhiskyexchange.com/380/ablob.non47.jpg?v=202407241,False,70.0,0.7,48.0,81.07,,False,47.29,47.29,67.56,33.599999999999994,1.41,Premium,0.0,No Discount,,False,,Standard (70cl),46–50%,False
2025-12-29 22:13:58,Single Malt,86756,Thompson Bros Mystery Malt Series No.5,Independent/Unknown,70cl / 46.3%,54.12,(£92.79 per litre),,,https://www.thewhiskyexchange.com/p/86756/thompson-bros-mystery-malt-series-no5,https://img.thewhiskyexchange.com/380/malts_tho4.jpg?v=202407241,True,70.0,0.7,46.3,92.79,,False,54.12,54.12,77.31,32.41,1.67,Premium,0.0,No Discount,,False,,Standard (70cl),46–50%,False
2025-12-29 22:13:58,Single Malt,32560,Kilchoman Sanaig,Kilchoman,70cl / 46%,47.08,(£80.71 per litre),Islay,,https://www.thewhiskyexchange.com/p/32560/kilchoman-sanaig,https://img.thewhiskyexchange.com/380/kilob.non3.jpg?v=202407241,False,70.0,0.7,46.0,80.71,,False,47.08,47.08,67.26,32.199999999999996,1.46,Premium,0.0,No Discount,,False,,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,2091,Glenfiddich 15 Year Old Solera,Glenfiddich,70cl / 40%,49.96,(£85.64 per litre),Speyside,,https://www.thewhiskyexchange.com/p/2091/glenfiddich-15-year-old-solera,https://img.thewhiskyexchange.com/380/gfdob.15yo.jpg?v=202407241,False,70.0,0.7,40.0,85.64,,False,49.96,49.96,71.37,28.0,1.78,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,13626,Bunnahabhain 18 Year Old,Bunnahabhain,70cl / 46.3%,110.83,(£190 per litre),Islay,,https://www.thewhiskyexchange.com/p/13626/bunnahabhain-18-year-old,https://img.thewhiskyexchange.com/380/bunob.18yov2.jpg?v=202407241,False,70.0,0.7,46.3,190.0,,False,110.83,110.83,158.33,32.41,3.42,Premium,0.0,No Discount,18.0,True,16–18,Standard (70cl),46–50%,False
2025-12-29 22:13:58,Single Malt,4132,Oban 14 Year Old,Oban,70cl / 43%,72.71,(£110.36 per litre),Highland,Special Offer: £10 Off!,https://www.thewhiskyexchange.com/p/4132/oban-14-year-old,https://img.thewhiskyexchange.com/380/obnob.14yo.jpg?v=202407241,False,70.0,0.7,43.0,110.36,10.0,True,82.71,82.71,118.16,30.099999999999998,2.75,Premium,12.09,Medium (10–20%),14.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:13:58,Single Malt,40227,Kilchoman Machir Bay,Kilchoman,70cl / 46%,39.12,(£67.07 per litre),Islay,,https://www.thewhiskyexchange.com/p/40227/kilchoman-machir-bay,https://img.thewhiskyexchange.com/380/kilob.non26.jpg?v=202407241,False,70.0,0.7,46.0,67.07,,False,39.12,39.12,55.89,32.199999999999996,1.21,Budget,0.0,No Discount,,False,,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,83347,Aberlour A'Bunadh,Aberlour,70cl / 60%,78.12,(£133.93 per litre),Speyside,,https://www.thewhiskyexchange.com/p/83347/aberlour-abunadh,https://img.thewhiskyexchange.com/380/ablob.non65.jpg?v=202407241,False,70.0,0.7,60.0,133.93,,False,78.12,78.12,111.6,42.0,1.86,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:13:58,Single Malt,1665,Clynelish 14 Year Old,Clynelish,70cl / 46%,47.08,(£66.43 per litre),Highland,Special Offer: £10 Off!,https://www.thewhiskyexchange.com/p/1665/clynelish-14-year-old,https://img.thewhiskyexchange.com/380/clyob.14yo.jpg?v=202407241,False,70.0,0.7,46.0,66.43,10.0,True,57.08,57.08,81.54,32.199999999999996,1.77,Premium,17.52,Medium (10–20%),14.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,1902,Edradour 10 Year Old,Edradour,70cl / 46%,38.75,(£66.43 per litre),Highland,,https://www.thewhiskyexchange.com/p/1902/edradour-10-year-old,https://img.thewhiskyexchange.com/380/edrob.10yov1.jpg?v=202407241,False,70.0,0.7,46.0,66.43,,False,38.75,38.75,55.36,32.199999999999996,1.2,Budget,0.0,No Discount,10.0,True,≤10,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,48885,Tobermory 12 Year Old,Tobermory,70cl / 46.3%,34.96,(£59.93 per litre),Island,,https://www.thewhiskyexchange.com/p/48885/tobermory-12-year-old,https://img.thewhiskyexchange.com/380/tobob.12yo.jpg?v=202407241,False,70.0,0.7,46.3,59.93,,False,34.96,34.96,49.94,32.41,1.08,Budget,0.0,No Discount,12.0,True,11–15,Standard (70cl),46–50%,False
2025-12-29 22:13:58,Single Malt,34537,Macallan 12 Year Old Double Cask,Macallan,70cl / 40%,64.96,(£111.36 per litre),Speyside,,https://www.thewhiskyexchange.com/p/34537/macallan-12-year-old-double-cask,https://img.thewhiskyexchange.com/380/macob.12yov26.jpg?v=202407241,False,70.0,0.7,40.0,111.36,,False,64.96,64.96,92.8,28.0,2.32,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),≤40%,False
2025-12-29 22:13:58,Single Malt,49965,Glendronach Port Wood,Glendronach,70cl / 46%,55.62,(£95.36 per litre),Highland,,https://www.thewhiskyexchange.com/p/49965/glendronach-port-wood,https://img.thewhiskyexchange.com/380/grnob.non13.jpg?v=202407241,False,70.0,0.7,46.0,95.36,,False,55.62,55.62,79.46,32.199999999999996,1.73,Premium,0.0,No Discount,,False,,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,48761,Balblair 12 Year Old,Balblair,70cl / 46%,44.79,(£56.79 per litre),Highland,Special Offer: £14 Off!,https://www.thewhiskyexchange.com/p/48761/balblair-12-year-old,https://img.thewhiskyexchange.com/380/blbob.12yo.jpg?v=202407241,False,70.0,0.7,46.0,56.79,14.0,True,58.79,58.79,83.99,32.199999999999996,1.83,Premium,23.81,High (20–40%),12.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:58,Single Malt,1814,Dalwhinnie 15 Year Old,Dalwhinnie,70cl / 43%,46.25,(£70.71 per litre),Speyside,Special Offer: £6 Off!,https://www.thewhiskyexchange.com/p/1814/dalwhinnie-15-year-old,https://img.thewhiskyexchange.com/380/dalob.15yov1.jpg?v=202407241,False,70.0,0.7,43.0,70.71,6.0,True,52.25,52.25,74.64,30.099999999999998,1.74,Premium,11.48,Medium (10–20%),15.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:13:58,Single Malt,85676,Glenfiddich 16 Year Old / Aston Martin F1,Glenfiddich,70cl / 43%,61.62,(£105.64 per litre),Speyside,,https://www.thewhiskyexchange.com/p/85676/glenfiddich-16-year-old-aston-martin-f1,https://img.thewhiskyexchange.com/380/gfdob.16yo.jpg?v=202407241,False,70.0,0.7,43.0,105.64,,False,61.62,61.62,88.03,30.099999999999998,2.05,Premium,0.0,No Discount,16.0,True,16–18,Standard (70cl),40–43%,False
2025-12-29 22:14:03,Single Malt,26055,Craigellachie 13 Year Old,Craigellachie,70cl / 46%,49.96,(£74.21 per litre),Speyside,Special Offer: £8 Off!,https://www.thewhiskyexchange.com/p/26055/craigellachie-13-year-old,https://img.thewhiskyexchange.com/380/crgob.13yo.jpg?v=202407241,False,70.0,0.7,46.0,74.21,8.0,True,57.96,57.96,82.8,32.199999999999996,1.8,Premium,13.8,Medium (10–20%),13.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:14:03,Single Malt,1619,Caol Ila 12 Year Old,Caol Ila,70cl / 43%,45.62,(£78.21 per litre),Islay,,https://www.thewhiskyexchange.com/p/1619/caol-ila-12-year-old,https://img.thewhiskyexchange.com/380/cilob.12yov1.jpg?v=202407241,False,70.0,0.7,43.0,78.21,,False,45.62,45.62,65.17,30.099999999999998,1.52,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:14:03,Single Malt,72702,Macallan Classic Cut 2023 Release,Macallan,70cl / 50.3%,79.12,(£135.64 per litre),Speyside,,https://www.thewhiskyexchange.com/p/72702/macallan-classic-cut-2023-release,https://img.thewhiskyexchange.com/380/macob.non183.jpg?v=202407241,False,70.0,0.7,50.3,135.64,,False,79.12,79.12,113.03,35.209999999999994,2.25,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:14:03,Single Malt,114,Ardbeg Uigeadail,Ardbeg,70cl / 54.2%,58.54,(£100.36 per litre),Islay,,https://www.thewhiskyexchange.com/p/114/ardbeg-uigeadail,https://img.thewhiskyexchange.com/380/abgob.non2.jpg?v=202407241,False,70.0,0.7,54.2,100.36,,False,58.54,58.54,83.63,37.94,1.54,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:14:03,Single Malt,73328,Dailuaine 16 Year Old / Flora & Fauna,Dailuaine,70cl / 43%,56.46,(£96.79 per litre),Speyside,,https://www.thewhiskyexchange.com/p/73328/dailuaine-16-year-old-flora-fauna,https://img.thewhiskyexchange.com/380/dlnob.16yo.jpg?v=202407241,False,70.0,0.7,43.0,96.79,,False,56.46,56.46,80.66,30.099999999999998,1.88,Premium,0.0,No Discount,16.0,True,16–18,Standard (70cl),40–43%,False
2025-12-29 22:14:03,Single Malt,82932,Scapa 16 Year Old,Scapa,70cl / 48%,79.12,(£135.64 per litre),Island,,https://www.thewhiskyexchange.com/p/82932/scapa-16-year-old,https://img.thewhiskyexchange.com/380/scpob.16yov2.jpg?v=202407241,False,70.0,0.7,48.0,135.64,,False,79.12,79.12,113.03,33.599999999999994,2.35,Premium,0.0,No Discount,16.0,True,16–18,Standard (70cl),46–50%,False
2025-12-29 22:14:03,Single Malt,71873,Glenglassaugh Portsoy,Glenglassaugh,70cl / 49.1%,49.38,(£84.64 per litre),Highland,,https://www.thewhiskyexchange.com/p/71873/glenglassaugh-portsoy,https://img.thewhiskyexchange.com/380/ggsob.non22.jpg?v=202407241,False,70.0,0.7,49.1,84.64,,False,49.38,49.38,70.54,34.37,1.44,Premium,0.0,No Discount,,False,,Standard (70cl),46–50%,False
2025-12-29 22:14:03,Single Malt,85994,Ben Nevis 2019 / 6 Year Old / Caoineag The Weeping Spirit / The Whisky Exchange,Ben Nevis,70cl / 55%,49.96,(£85.64 per litre),Highland,,https://www.thewhiskyexchange.com/p/85994/ben-nevis-2019-6-year-old-caoineag-the-weeping-spirit-the-whisky-exchange,https://img.thewhiskyexchange.com/380/bnvtwe2019.jpg?v=202407241,False,70.0,0.7,55.0,85.64,,False,49.96,49.96,71.37,38.5,1.3,Premium,0.0,No Discount,6.0,True,≤10,Standard (70cl),50%+,True
